iter	Passed	Remaining
0	272	271953
1	441	220292
2	590	196303
3	732	182322
4	797	158700
5	848	140514
6	1149	16305377	1273	15786788	1365	15037399	1534	151898110	1725	155095111	1911	157345112	2020	15341113	2029	142968
14	2148	141100
15	2254	138656
16	2315	133895
17	2371	129354
18	2471	127616
19	2640	129391
20	2908	135579
21	3244	144247
22	3412	144964
23	3641	148079
24	3863	150661
25	4040	151344
26	4174	150449
27	4342	150747
28	4419	147981
29	4587	148333
30	4661	145701
31	4696	142072
32	4734	138738
33	4781	135854
34	4828	133124
35	4871	130454
36	4947	128756
37	5099	129109
38	5252	129433
39	5404	129696
40	5599	130977
41	5758	131359
42	5944	132291
43	6091	132343
44	6207	131731
45	6342	131546
46	6467	131137
47	6605	131005
48	6636	128807
49	6668	126698
50	6743	125482
51	6849	124875
52	6980	124720
53	7134	124981
54	7238	124368
55	7276	122664
56	7312	120974
57	7348	119355
58	7379	117700
59	7414	116163
60	7446	114632
61	7480	113168
62	7513	111748
663	7683	112370664	7802	112235
65	7904	111854
66	8017	111641
67	8051	110358
68	8084	109088
69	8124	107942
70	8157	106740
71	8204	105743
72	8242	76	8356	100173
77	8490	100367
78	8612	100407
79	8729	100384
80	8880	100758
81	9001	100768
82	9161	101218
83	9306	101486
84	9463	101869
85	9582	101837
86	9682	101607
87	9792	101485
88	9950	101856
89	9994	101054
90	10035	100242
91	10064	99332
92	10094	98445
93	10124	97582
94	1015497	10301	94815
98	10407	94722
99	10526	94735
100	10615	94491
101	10735	94514
102	10843	94434
103	10946	94311
104	11069	94358
105	11203	94489
106	11291	94240
107	11323	93522
108	104	11187	95357
105	11307	95363
106	11459	95639
107	11507	95044
108	11553	94445
109	11593	93802
110	11641	93233
111	11789	93476
112	11916	93541
113	12050	93655
114	12213	93989
115	12330	93968
116	12469	94106
117	12595	94147
118	12690	93954
119	12808	93929
120	12845	93316
121	12886	92742
122	12923	92146
123	12943	91437
124	12973	90811
125	13009	90130	126	13048	89131	13336	87694
132	13424	87512
133	13551	87578
134	13605	87174
135	13652	86732
136	13694	86262
137	13730	85764
138	13762	85249
139	13796	84747
140	13895	84656
141	14067	85000
142	14204	85125
143	14301	85013
144	14433	85105
145	14530	84993
146	14628	84886
147	14787	85127
148	14902	85114
149	15004	85028
150	15031	84513
151	15076	84112
152	15154	83895
153	149	15043	85244
150	15156	85215
151	15297	85344
152	15337	84910
153	15373	84453
154	15406	83991
155	15490	83807
156	15672	84151
157	15837	84397
158	15987	84564
159	16210	85107
160	16347	85189
161	16478	85241
162	16598	85234
163	16746	85364
164	16779	84913
165	16917	84996
166	17060	85096
167	17146	84917
168	17220	84677
169	17280	84368
170	17526	84969
171	17679	85106
172	17847	85316
173	18086	85859
174	18233	85957
175	18427	86275
176	18552	86264
177	18647	86114
178	18770	86092
179	18907	86136
180	19050	86201
181	19185	86229
182	19353	86402
183	19559	86742
184	19687	86732
185	19818	86732
186	19960	86780
187	20098	86806
188	20218	86759
189	20348	86750
190	20482	86755
191	20614	86753
192	20679	86466
193	20722	86095
194	20771	85750
195	20844	85502
196	20961	85443
197	21082	85396
198	21187	85283
199	21313	85253
200	21374	84968
201	21423	84632
202	21467	84283
203	21559	84124
204	21664	84017
205	21732	83765
206	21770	83401
207	21867	83265
208	21920	82960
209	21964	82629
210	22006	82288
211	22045	81942
212	22087	81608
213	22119	81242
214	22156	80895
215	22186	80528
216	22219	80173
217	22253	79826
218	22280	79457
219	22310	79100
220	22386	78910
221	22440	78643
222	22491	78366
223	22543	78098
224	22590	77810
225	22631	77508
226	22666	77186
227	22699	76858
228	22726	76515
229	22752	76170
230	22776	75824
231	22810	75510
232	22864	75265
233	22899	74962
234	22938	74672
235	22973	74371
236	23011	74084
237	23041	73771
238	23068	73450
239	23104	73244	23389	72077
245	241	23203	72246	23535	71749
247	236249	23859248	23812	71821
249	23930	71790
250	24040	71739
251	24169	71740
252	24281	71691
253	24391	71636
254	24484	71534
255	24593	71473
256	24704	71421
257	24826	71400
258	24920	71296
259	25024	71222
260	251262	25293261	25247	71115
262	253264	25526263	254265	25633264	255266	25739265	255267	25842	70585
268	25928	70460
269	26053	70442
270	26164	70384
271	26305	70405
272	26423	70364
273	26526	70284
274	26607	70146
275	26701	70044
276	26822	70009
277	26926	69931
278	27020	69827
279	27145	69803
280	27246	69715
281	27284	69467
282	27312	69198
283	27339	68925
284	27364	686279	26986	69392
280	27144	69455
281	27277	69451
282	27392	69401
283	27493	69314
284	27614	69279
285	27708	69173
286	27805	69077
287	27914	69011
288	28029	68957
289	28151	68921
290	28260	68853
291	28379	68811
292	28439	68623
293	28482	68397
294	28522	68163
295	28555	67916
296	28591	67675
297	28628	67440
298	28662	67198
299	28697	66961
300	28731	66722
301	28752	66454
302	28785	66215
303	28817	65975
304	28874	65794
305	28999	65769
306	29102	65693
307	29219	65648
308	29381	65704
309	29501	65665
310	29620	65621
311	29731	65561
312	29802	65413
313	29843	65199
314	29894	65008
315	29930	64785
316	29969	64571
317	30070	64491
318	30198	64467
319	30362	64520
320	30493	64502
321	30579	64388
322	30693	64333
323	30796	64254
324	30891	64160
325	31015	64124
326	31138	64085
327	31271	64067
328	31376	63992
329	31485	63925
330	31660	63990
331	31849	64081
332	31886	63869
333	31987	63782
334	32106	63733
335	32206	63646
336	32370	63683
337	32497	63649
338	32602	63570
339	32682	63442
340	32725	63244
341	32766	63042
342	32808	62842
343	32850	62645
344	32951	62560
345	33068	62505
346	33202	62482
347	33333	62452
348	33440	62376
349	33576	62355
350	33665	62248
351	33827	62272
352	33971	62264
353	34086	62202
354	34208	62153
355	34323	62091
356	34415	61985
357	34534	61929
358	34646	61862
359	34765	61806
360	34847	61683
361	34881	61476
362	34922	61282
363	34965	61092
364	35011	60910
365	35057	60727
366	35097	60536
367	35128	60329
368	35156	60117
369	35189	59916
370	35223	59719
371	35249	59379	35584	58059
